samples,ASV_ID,abundance
FLD0196_13_06_2006_2c,Synechococcus phage S-LKM3 (ASV_20),0
FLD0196_13_06_2006_2c,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0
FLD0196_13_06_2006_2c,Unknown_ASV,0.156579368
FLD0197_27_06_2006_1,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.475254475
FLD0197_27_06_2006_1,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.012285012
FLD0197_27_06_2006_1,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.012987013
FLD0197_27_06_2006_1,Uncultured cyanophage clone BwC24 (ASV_6),0
FLD0197_27_06_2006_1,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.008073008
FLD0197_27_06_2006_1,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0.002457002
FLD0197_27_06_2006_1,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0197_27_06_2006_1,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.274482274
FLD0197_27_06_2006_1,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.014040014
FLD0197_27_06_2006_1,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.009477009
FLD0197_27_06_2006_1,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.003510004
FLD0197_27_06_2006_1,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0
FLD0197_27_06_2006_1,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0
FLD0197_27_06_2006_1,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0197_27_06_2006_1,Synechococcus phage S-LKM3 (ASV_20),0
FLD0197_27_06_2006_1,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0
FLD0197_27_06_2006_1,Unknown_ASV,0.187434187
FLD0198_27_06_2006_2,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.482120051
FLD0198_27_06_2006_2,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.004257131
FLD0198_27_06_2006_2,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.010855683
FLD0198_27_06_2006_2,Uncultured cyanophage clone BwC24 (ASV_6),0
FLD0198_27_06_2006_2,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.008301405
FLD0198_27_06_2006_2,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0
FLD0198_27_06_2006_2,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0198_27_06_2006_2,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.343550447
FLD0198_27_06_2006_2,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.014474244
FLD0198_27_06_2006_2,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.003831418
FLD0198_27_06_2006_2,Uncultured cyanophage clone KRA0808M1 (ASV_13),0
FLD0198_27_06_2006_2,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0
FLD0198_27_06_2006_2,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0
FLD0198_27_06_2006_2,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0198_27_06_2006_2,Synechococcus phage S-LKM3 (ASV_20),0
FLD0198_27_06_2006_2,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0
FLD0198_27_06_2006_2,Unknown_ASV,0.132609621
FLD0199_12_07_2006_1b,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.521972354
FLD0199_12_07_2006_1b,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.008458841
FLD0199_12_07_2006_1b,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.015679802
FLD0199_12_07_2006_1b,Uncultured cyanophage clone BwC24 (ASV_6),0.013204044
FLD0199_12_07_2006_1b,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.009490406
FLD0199_12_07_2006_1b,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0.00061894
FLD0199_12_07_2006_1b,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0199_12_07_2006_1b,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.269651331
FLD0199_12_07_2006_1b,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.026820714
FLD0199_12_07_2006_1b,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.002682071
FLD0199_12_07_2006_1b,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.003094698
FLD0199_12_07_2006_1b,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0.000825253
FLD0199_12_07_2006_1b,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0
FLD0199_12_07_2006_1b,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0199_12_07_2006_1b,Synechococcus phage S-LKM3 (ASV_20),0
FLD0199_12_07_2006_1b,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0
FLD0199_12_07_2006_1b,Unknown_ASV,0.127501547
FLD0200_12_07_2006_2b,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.568747067
FLD0200_12_07_2006_2b,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.005279212
FLD0200_12_07_2006_2b,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.016306898
FLD0200_12_07_2006_2b,Uncultured cyanophage clone BwC24 (ASV_6),0.007508212
FLD0200_12_07_2006_2b,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.002698264
FLD0200_12_07_2006_2b,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0.001290474
FLD0200_12_07_2006_2b,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0200_12_07_2006_2b,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.27663069
FLD0200_12_07_2006_2b,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.028977006
FLD0200_12_07_2006_2b,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.003519474
FLD0200_12_07_2006_2b,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.00281558
FLD0200_12_07_2006_2b,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0.000351947
FLD0200_12_07_2006_2b,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0
FLD0200_12_07_2006_2b,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0200_12_07_2006_2b,Synechococcus phage S-LKM3 (ASV_20),0
FLD0200_12_07_2006_2b,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0
FLD0200_12_07_2006_2b,Unknown_ASV,0.085875176
FLD0201_25_07_2006_1,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.593679458
FLD0201_25_07_2006_1,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.060948081
FLD0201_25_07_2006_1,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.020316027
FLD0201_25_07_2006_1,Uncultured cyanophage clone BwC24 (ASV_6),0
FLD0201_25_07_2006_1,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0
FLD0201_25_07_2006_1,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0
FLD0201_25_07_2006_1,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0201_25_07_2006_1,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.191873589
FLD0201_25_07_2006_1,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.088036117
FLD0201_25_07_2006_1,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.009029345
FLD0201_25_07_2006_1,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.006772009
FLD0201_25_07_2006_1,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0
FLD0201_25_07_2006_1,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0
FLD0201_25_07_2006_1,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0201_25_07_2006_1,Synechococcus phage S-LKM3 (ASV_20),0
FLD0201_25_07_2006_1,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0
FLD0201_25_07_2006_1,Unknown_ASV,0.029345372
FLD0202_02_08_2006_1b,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.018797143
FLD0202_02_08_2006_1b,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.949275652
FLD0202_02_08_2006_1b,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.004190446
FLD0202_02_08_2006_1b,Uncultured cyanophage clone BwC24 (ASV_6),0.002713813
FLD0202_02_08_2006_1b,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.001835814
FLD0202_02_08_2006_1b,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0.000518817
FLD0202_02_08_2006_1b,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0202_02_08_2006_1b,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.011852975
FLD0202_02_08_2006_1b,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.000838089
FLD0202_02_08_2006_1b,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0
FLD0202_02_08_2006_1b,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.000598635
FLD0202_02_08_2006_1b,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0
FLD0202_02_08_2006_1b,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0
FLD0202_02_08_2006_1b,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0202_02_08_2006_1b,Synechococcus phage S-LKM3 (ASV_20),0
FLD0202_02_08_2006_1b,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0
FLD0202_02_08_2006_1b,Unknown_ASV,0.009378617
FLD0203_02_08_2006_2b,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.027560607
FLD0203_02_08_2006_2b,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.923822351
FLD0203_02_08_2006_2b,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.007062611
FLD0203_02_08_2006_2b,Uncultured cyanophage clone BwC24 (ASV_6),0.003219237
FLD0203_02_08_2006_2b,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.001248275
FLD0203_02_08_2006_2b,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0.000558439
FLD0203_02_08_2006_2b,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0203_02_08_2006_2b,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.012811248
FLD0203_02_08_2006_2b,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.001970961
FLD0203_02_08_2006_2b,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.000755535
FLD0203_02_08_2006_2b,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.000558439
FLD0203_02_08_2006_2b,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0
FLD0203_02_08_2006_2b,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0
FLD0203_02_08_2006_2b,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0203_02_08_2006_2b,Synechococcus phage S-LKM3 (ASV_20),0
FLD0203_02_08_2006_2b,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0
FLD0203_02_08_2006_2b,Unknown_ASV,0.020432297
FLD0212_15_08_2006_1a,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.019497649
FLD0212_15_08_2006_1a,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.039052644
FLD0212_15_08_2006_1a,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.125702489
FLD0212_15_08_2006_1a,Uncultured cyanophage clone BwC24 (ASV_6),0.010035555
FLD0212_15_08_2006_1a,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.016687694
FLD0212_15_08_2006_1a,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0.000458768
FLD0212_15_08_2006_1a,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0212_15_08_2006_1a,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.010723707
FLD0212_15_08_2006_1a,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.001204267
FLD0212_15_08_2006_1a,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.002752609
FLD0212_15_08_2006_1a,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.00028673
FLD0212_15_08_2006_1a,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0.000802844
FLD0212_15_08_2006_1a,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0
FLD0212_15_08_2006_1a,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0212_15_08_2006_1a,Synechococcus phage S-LKM3 (ASV_20),0
FLD0212_15_08_2006_1a,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0
FLD0212_15_08_2006_1a,Unknown_ASV,0.772795045
FLD0205_15_08_2006_2a,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.068874172
FLD0205_15_08_2006_2a,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.80397351
FLD0205_15_08_2006_2a,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.031788079
FLD0205_15_08_2006_2a,Uncultured cyanophage clone BwC24 (ASV_6),0
FLD0205_15_08_2006_2a,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.013245033
FLD0205_15_08_2006_2a,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0.002649007
FLD0205_15_08_2006_2a,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0205_15_08_2006_2a,Uncultured cyanophage clone KRB1008M5 (ASV_10),0
FLD0205_15_08_2006_2a,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0
FLD0205_15_08_2006_2a,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0
FLD0205_15_08_2006_2a,Uncultured cyanophage clone KRA0808M1 (ASV_13),0
FLD0205_15_08_2006_2a,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0
FLD0205_15_08_2006_2a,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0
FLD0205_15_08_2006_2a,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0205_15_08_2006_2a,Synechococcus phage S-LKM3 (ASV_20),0
FLD0205_15_08_2006_2a,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0
FLD0205_15_08_2006_2a,Unknown_ASV,0.079470199
FLD0206_22_08_2006_1,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.039819684
FLD0206_22_08_2006_1,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.369496619
FLD0206_22_08_2006_1,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.279939895
FLD0206_22_08_2006_1,Uncultured cyanophage clone BwC24 (ASV_6),0.004507889
FLD0206_22_08_2006_1,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.019383922
FLD0206_22_08_2006_1,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0.006386176
FLD0206_22_08_2006_1,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0206_22_08_2006_1,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.017806161
FLD0206_22_08_2006_1,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.010293013
FLD0206_22_08_2006_1,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.004733283
FLD0206_22_08_2006_1,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.001352367
FLD0206_22_08_2006_1,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0.000450789
FLD0206_22_08_2006_1,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0
FLD0206_22_08_2006_1,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0206_22_08_2006_1,Synechococcus phage S-LKM3 (ASV_20),0
FLD0206_22_08_2006_1,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0.000450789
FLD0206_22_08_2006_1,Unknown_ASV,0.245379414
FLD0207_22_08_2006_2,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.04910859
FLD0207_22_08_2006_2,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.317341977
FLD0207_22_08_2006_2,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.305672609
FLD0207_22_08_2006_2,Uncultured cyanophage clone BwC24 (ASV_6),0.008752026
FLD0207_22_08_2006_2,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.027066451
FLD0207_22_08_2006_2,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0.004538088
FLD0207_22_08_2006_2,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0207_22_08_2006_2,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.021231767
FLD0207_22_08_2006_2,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.004943274
FLD0207_22_08_2006_2,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.001458671
FLD0207_22_08_2006_2,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.000567261
FLD0207_22_08_2006_2,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0.001377634
FLD0207_22_08_2006_2,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0
FLD0207_22_08_2006_2,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0207_22_08_2006_2,Synechococcus phage S-LKM3 (ASV_20),0
FLD0207_22_08_2006_2,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0
FLD0207_22_08_2006_2,Unknown_ASV,0.257941653
FLD0208_05_09_2006_1,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.01984052
FLD0208_05_09_2006_1,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.201730849
FLD0208_05_09_2006_1,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.150825744
FLD0208_05_09_2006_1,Uncultured cyanophage clone BwC24 (ASV_6),0.004157061
FLD0208_05_09_2006_1,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.10101659
FLD0208_05_09_2006_1,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0.00438381
FLD0208_05_09_2006_1,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0208_05_09_2006_1,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.008465289
FLD0208_05_09_2006_1,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.001662825
FLD0208_05_09_2006_1,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.002191905
FLD0208_05_09_2006_1,Uncultured cyanophage clone KRA0808M1 (ASV_13),0
FLD0208_05_09_2006_1,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0.001473867
FLD0208_05_09_2006_1,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0.000415706
FLD0208_05_09_2006_1,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0208_05_09_2006_1,Synechococcus phage S-LKM3 (ASV_20),0
FLD0208_05_09_2006_1,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0.000340123
FLD0208_05_09_2006_1,Unknown_ASV,0.503495711
FLD0209_05_09_2006_2,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.012949681
FLD0209_05_09_2006_2,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.170138889
FLD0209_05_09_2006_2,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.140681922
FLD0209_05_09_2006_2,Uncultured cyanophage clone BwC24 (ASV_6),0.002817623
FLD0209_05_09_2006_2,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.089651639
FLD0209_05_09_2006_2,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0.003358379
FLD0209_05_09_2006_2,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0209_05_09_2006_2,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.005606785
FLD0209_05_09_2006_2,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.001593807
FLD0209_05_09_2006_2,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.000996129
FLD0209_05_09_2006_2,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.000483834
FLD0209_05_09_2006_2,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0.000967668
FLD0209_05_09_2006_2,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0.000313069
FLD0209_05_09_2006_2,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0209_05_09_2006_2,Synechococcus phage S-LKM3 (ASV_20),0
FLD0209_05_09_2006_2,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0.000626138
FLD0209_05_09_2006_2,Unknown_ASV,0.569814435
FLD0210_12_09_2006_1a,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.010429985
FLD0210_12_09_2006_1a,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.282181549
FLD0210_12_09_2006_1a,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.058508849
FLD0210_12_09_2006_1a,Uncultured cyanophage clone BwC24 (ASV_6),0.003532737
FLD0210_12_09_2006_1a,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.0936007
FLD0210_12_09_2006_1a,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0.002994415
FLD0210_12_09_2006_1a,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0210_12_09_2006_1a,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.00460938
FLD0210_12_09_2006_1a,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.001177579
FLD0210_12_09_2006_1a,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.002758899
FLD0210_12_09_2006_1a,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.000302806
FLD0210_12_09_2006_1a,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0.000841128
FLD0210_12_09_2006_1a,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0.000302806
FLD0210_12_09_2006_1a,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0210_12_09_2006_1a,Synechococcus phage S-LKM3 (ASV_20),0
FLD0210_12_09_2006_1a,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0.000201871
FLD0210_12_09_2006_1a,Unknown_ASV,0.538557298
FLD0211_12_09_2006_2b,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.018976658
