Date,Months,Years,Site,Period,bloom2,Total_Phosphorus_ug,Phosph_Range,Nitrog_Range,Total_Nitrogen_mg,Temperature_Water_Celsius,Dissolved_P,Dissolved_N,Cumulative_precipitation_t1_t7_mm,Profondeur_Secchi_cm,Mean_temperature_t0_t7,Microcystin_ug_L,Description,SampleID,echantillonnage
2008-9-17,September,2008,Littoral,Fall,no,80.4,Mesotrophic,Eutrophic,NA,19.45,32.82,NA,2.4,NA,15.425,NA,17.09.2008.1d,FLD0249.17-09-2008-1d,
2008-9-17,September,2008,Pelagic,Fall,no,71.16,Mesotrophic,Mesotrophic,720,18.16,30.59,0.539,2.4,NA,15.425,0.4,17.09.2008.3b,FLD0250.17-09-2008-3b,
2008-10-07,October,2008,Pelagic,Fall,no,NA,NA,NA,440,NA,NA,0.32,1.925,NA,8.65,0.3,07.10.2008.5b,FLD0251.07-10-2008-5b,
2008-10-07,October,2008,Pelagic,Fall,no,NA,NA,NA,440,NA,NA,0.32,1.925,NA,8.65,NA,07.10.08.6b,FLD0252.07-10-2008-6b,
2008-10-27,October,2008,Littoral,Fall,no,37.975,Mesotrophic,Eutrophic,NA,NA,31.44,NA,5.325,NA,6.15,NA,27.10.08.1,FLD0253.27-10-2008-1,
2008-10-27,October,2008,Pelagic,Fall,no,46.115,Mesotrophic,Eutrophic,NA,NA,27.033,NA,5.325,NA,6.15,NA,27.10.08.2,FLD0254.27-10-2008-2,
2009-5-20,May,2009,Littoral,Spring,no,63.091,Mesotrophic,Mesotrophic,953,15,43.944,0.821,2.95,170.25,11.9,NA,20.05.2009.1,FLD0255.20-05-2009-1,
2009-5-20,May,2009,Pelagic,Spring,no,64.177,Mesotrophic,Mesotrophic,787,14,59.02,0.639,2.95,160.25,11.9,NA,20.05.2009.2,FLD0256.20-05-2009-2,
2009-6-17,June,2009,NA,Summer,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,17.5625,NA,NA,FLD0257.17-06-2009-1,
2009-6-17,June,2009,NA,Summer,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,17.5625,NA,NA,FLD0258.17-06-2009-2,
2009-6-19,June,2009,Littoral,Summer,no,NA,NA,NA,NA,NA,NA,NA,2.3,NA,17.425,NA,19.06.2009.1,NA,
2009-6-19,June,2009,Pelagic,Summer,no,NA,NA,NA,NA,NA,NA,NA,2.3,NA,17.425,NA,19.06.2009.2,NA,
2009-7-08,July,2009,Littoral,Summer,no,56.65,Mesotrophic,Eutrophic,NA,NA,NA,NA,NA,NA,17.675,NA,08.07.2009.1,FLD0259.08-07-2009-1,
2009-7-08,July,2009,Pelagic,Summer,yes,58.26,Mesotrophic,Eutrophic,NA,NA,29.85,NA,NA,NA,17.675,NA,08.07.2009.2,FLD0260.08-07-2009-2,
2009-7-12,July,2009,Littoral,Summer,no,NA,NA,NA,924,22.3,NA,0.664,NA,97.75,17.2125,NA,12.07.2009.1b,FLD0261.12-07-2009-1b,
2009-7-12,July,2009,Pelagic,Summer,no,NA,NA,NA,NA,22,5.412,0.601,NA,157.75,17.2125,1.7,12.07.2009.2b,FLD0262.12-07-2009-2b,
2009-7-25,July,2009,Littoral,Summer,yes,64.006,Mesotrophic,Mesotrophic,719,NA,29.563,0.488,2.2,NA,19.5625,NA,25.07.2009.b,FLD0263.25-07-2009-b,
2009-7-25,July,2009,Pelagic,Summer,yes,NA,NA,NA,NA,NA,9.377,0.781,2.2,175.25,19.5625,124,25.07.2009.p2,FLD0264.25-07-2009-p2,
2009-7-29,July,2009,NA,Summer,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,21.575,NA,NA,FLD0265.29-07-2009-1,
2009-7-29,July,2009,Littoral,Summer,yes,56.97,Mesotrophic,Eutrophic,NA,NA,NA,NA,5,NA,21.575,1.14,29.07.2009.2d,NA,
2009-8-08,August,2009,Littoral,Summer,yes,108.599,Eutrophic,Eutrophic,NA,25,22.886,NA,3.975,NA,18.9,NA,08.08.2009.2b,NA,
2009-8-08,August,2009,Pelagic,Summer,no,NA,NA,NA,NA,24.05,9.436,0.376,3.975,NA,18.9,0.623,08.08.2009.p2,FLD0266.08-08-2009-p2,
2009-8-22,August,2009,Littoral,Summer,no,NA,NA,NA,NA,26.5,NA,NA,2.425,NA,22.95,NA,22.08.2009.1,FLD0267.22-08-2009-1,
2009-8-22,August,2009,Pelagic,Summer,no,NA,NA,NA,NA,25.79,NA,NA,2.425,107.75,22.95,NA,22.08.2009.p1,FLD0268.22-08-2009-p1,
2009-9-02,September,2009,Littoral,Summer,no,58.47,Mesotrophic,Eutrophic,NA,NA,NA,NA,2.375,NA,14.475,0.06,02.09.09.1,FLD0269.02-09-2009-1,
2009-9-02,September,2009,Pelagic,Summer,no,58.68,Mesotrophic,Eutrophic,NA,NA,NA,NA,2.375,NA,14.475,0.135,02.09.2009.2,FLD0270.02-09-2009-2,
2009-9-16,September,2009,Littoral,Fall,yes,NA,NA,NA,NA,NA,NA,NA,0.7,NA,14.9,NA,16.09.09.1,FLD0271.16-09-2009-1,
2009-9-16,September,2009,Pelagic,Fall,yes,NA,NA,NA,NA,NA,NA,NA,0.7,NA,14.9,NA,16.09.09.2,FLD0272.16-09-2009-2,
2009-9-23,September,2009,Littoral,Fall,no,38.51,Mesotrophic,Eutrophic,NA,NA,18.39,NA,3.05,105.25,13.625,0.0507,23.09.2009.1,FLD0273.23-09-2009-1,
2009-9-23,September,2009,Pelagic,Fall,no,44.94,Mesotrophic,Eutrophic,NA,17.45,23.59,NA,3.05,134.25,13.625,0.0214,23.09.2009.2,FLD0274.23-09-2009-2,
2009-10-15,October,2009,Littoral,Fall,no,33.98,Mesotrophic,Eutrophic,NA,NA,NA,NA,1.75,NA,5.025,1.00E-04,15.10.2009.1,FLD0275.15-10-2009-1,
2009-10-15,October,2009,Pelagic,Fall,no,38.86,Mesotrophic,Eutrophic,NA,NA,NA,NA,1.75,NA,5.025,NA,15.10.09.p2,FLD0276.15-10-2009-p2,
2010-5-05,May,2010,Littoral,Spring,no,NA,NA,NA,836,15.6,NA,0.59,5.275,242.75,12.45,NA,05.05.10.1,FLD0277.05-05-2010-1,
2010-5-05,May,2010,Pelagic,Spring,no,NA,NA,NA,742,13.4,NA,0.596,5.275,110.75,12.45,NA,05.05.10.2,FLD0278.05-05-2010-2,
2010-6-16,June,2010,Littoral,Summer,no,NA,NA,NA,408,18.6,NA,0.471,2.15,197.75,14.6625,NA,16.06.10.1,FLD0279.16-06-2010-1,
2010-6-16,June,2010,Pelagic,Summer,no,NA,NA,NA,256,18.7,NA,0.362,2.15,77.75,14.6625,NA,16.06.10.2,FLD0280.16-06-2010-2,
2010-7-05,July,2010,Littoral,Summer,no,NA,NA,NA,447,NA,NA,0.382,2.275,NA,19.575,0.38,05.07.10.1,FLD0281.05-07-2010-1,
2010-7-12,July,2010,Littoral,Summer,no,19.701,Mesotrophic,Mesotrophic,439,28.6,9.413,0.3,3.725,167.75,25.2375,0.993,12.07.10.1,FLD0282.12-07-2010-1,
2010-7-12,July,2010,Pelagic,Summer,no,27.861,Mesotrophic,Mesotrophic,316,27.4,13.366,0.279,3.725,287.75,25.2375,0.06,12.07.10.2,FLD0283.12-07-2010-2,
2010-7-26,July,2010,Littoral,Summer,yes,111.861,Eutrophic,Mesotrophic,1180,24.2,28.972,0.489,3.825,117.75,20.35,2300,26.07.10.1,FLD0284.26-07-2010-1,
2010-8-10,August,2010,Littoral,Summer,yes,NA,NA,NA,NA,24.64,NA,NA,12.9,NA,19.9625,0.153,10.08.10.1,FLD0285.10-08-2010-1,
2010-8-10,August,2010,Pelagic,Summer,no,NA,NA,NA,NA,22.9,NA,NA,12.9,NA,19.9625,0.516,10.08.10.2,FLD0286.10-08-2010-2,
2010-8-22,August,2010,Littoral,Summer,yes,NA,NA,NA,748,NA,NA,0.401,NA,NA,NA,0.378,22.08.10.1,FLD0289.22-08-2010-1,
2010-9-16,September,2010,Littoral,Fall,no,43.482,Mesotrophic,Mesotrophic,445,16.42,2.211,0.388,4.675,198.25,13.725,0.02,16.09.10.1,FLD0290.16-09-2010-1,
2010-9-16,September,2010,Pelagic,Fall,no,50.83,Mesotrophic,Mesotrophic,420,16.2,26.108,0.306,4.675,162.75,13.725,0.06,16.09.10.2,FLD0291.16-09-2010-2,
2010-10-19,October,2010,Littoral,Fall,no,NA,NA,NA,1148,8.98,NA,0.976,6.95,62.75,6.4375,NA,19.10.10.1,FLD0292.19-10-2010-1,
2010-10-19,October,2010,Pelagic,Fall,no,NA,NA,NA,1054,8.5,NA,0.938,6.95,72.75,6.4375,0.01,19.10.10.2,FLD0293.19-10-2010-2,
2011-5-15,May,2011,Littoral,Spring,no,64.338,Mesotrophic,Mesotrophic,655,9,36.815,0.575,5.55,NA,13.05,NA,15.05.11.1,FLD0294.15-05-2011-1,
2011-5-15,May,2011,NA,Spring,NA,NA,NA,NA,NA,NA,NA,NA,5.55,NA,13.05,NA,NA,FLD0295.15-05-2011-1,
NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
2011-6-12,June,2011,Littoral,Spring,no,14.696,Oligotrophic,Mesotrophic,760,20.5,11.043,0.638,1.075,125.25,18.1625,NA,12.06.11.1,NA,
2011-6-21,June,2011,Littoral,Summer,no,37.607,Mesotrophic,Mesotrophic,955,24,18.149,0.526,0.525,97.75,17.95,0.0904,21.06.2011.1,FLD0297.21-06-2011-1,
2011-6-21,June,2011,Pelagic,Summer,no,19.743,Mesotrophic,Mesotrophic,723,22.5,3.472,0.53,0.525,167.75,17.95,0.178,21.06.2011.2,FLD0298.21-06-2011-2,
2011-7-05,July,2011,Littoral,Summer,no,16.954,Oligotrophic,Mesotrophic,583,25.37,16.621,0.449,4.975,170.25,20.1375,0.17,05.07.2011.1,FLD0299.05-07-2011-1,
2011-7-05,July,2011,Pelagic,Summer,no,31.697,Mesotrophic,Mesotrophic,600,23.1,15.825,0.46,4.975,152.75,20.1375,0.374,05.07.2011.2,FLD0300.05-07-2011-2,
2011-7-19,July,2011,Littoral,Summer,no,57.995,Mesotrophic,Mesotrophic,838,27.03,39.201,0.533,0.5,NA,20.8,0.81,19.07.11.1,FLD0301.19-07-2011-1,
2011-7-19,July,2011,Pelagic,Summer,no,42.123,Mesotrophic,Mesotrophic,681,25.25,14.563,0.462,0.5,135.25,20.8,0.71,19.07.11.2,FLD0302.19-07-2011-2,
2011-8-09,August,2011,Littoral,Summer,yes,337.647,Eutrophic,Eutrophic,8612,27.1,22.798,0.458,2.825,66.5,20.5625,8.35,09.08.11.1,FLD0303.09-08-2011-1,
2011-8-09,August,2011,Pelagic,Summer,yes,451.474,Eutrophic,Eutrophic,13422,26.72,46.44,1.011,2.825,NA,20.5625,18.5,09.08.11.2,FLD0304.09-08-2011-2,
2011-8-23,August,2011,Littoral,Summer,no,211.889,Eutrophic,Mesotrophic,867,22.2,39.883,0.441,6.95,80.75,19.1875,1.82,23.08.11.1,FLD0305.23-08-2011-1,
2011-8-23,August,2011,Pelagic,Summer,yes,159.915,Eutrophic,Mesotrophic,923,NA,45.155,0.335,6.95,93.25,19.1875,3.63,23.08.11.2,FLD0306.23-08-2011-2,
2011-9-12,September,2011,Littoral,Summer,no,31.164,Mesotrophic,Mesotrophic,1271,20.2,11.091,0.957,9.05,90.25,16.35,1.1,12.09.11.1,FLD0307.12-09-2011-1,
2011-9-12,September,2011,Pelagic,Summer,no,59.618,Mesotrophic,Mesotrophic,1070,NA,26.568,0.716,9.05,80.25,16.35,3.25,12.09.11.2,FLD0308.12-09-2011-2,
2011-10-12,October,2011,Littoral,Fall,no,114.903,Eutrophic,Mesotrophic,863,14.8,52.792,0.605,0,92.75,11.6625,0.335,12.10.11.1,FLD0309.12-10-2011-1,
2011-10-12,October,2011,Pelagic,Fall,no,183.097,Eutrophic,Mesotrophic,1211,14.2,42.586,0.606,0,90.25,11.6625,3.46,12.10.11.2,FLD0310.12-10-2011-2,
2012-4-24,April,2012,Littoral,Spring,no,34.068,Mesotrophic,Mesotrophic,567,NA,0.79,0.518,4.425,89,8.375,NA,24.04.12.1,FLD0311.24-04-2012-1,
2012-6-07,June,2012,Littoral,Spring,no,49.33,Mesotrophic,Mesotrophic,892,22.5,34.315,0.727,1.8,144,14.0375,0.574,07.06.12.1,FLD0312.07-06-2012-1,
2012-6-07,June,2012,Pelagic,Spring,no,42.554,Mesotrophic,Mesotrophic,644,NA,28.8,0.586,1.8,237.75,14.0375,0.795,07.06.12.2,FLD0313.07-06-2012-2,
2012-7-20,July,2012,Littoral,Summer,no,139.226,Eutrophic,Mesotrophic,1041,25.9,62.419,0.376,4.675,74,21.0625,8.94,20.07.2012.1,FLD0314.20-07-2012-1,
2012-7-20,July,2012,Pelagic,Summer,no,85.94,Mesotrophic,Mesotrophic,452,25,56.307,0.285,4.675,140.25,21.0625,1.67,20.07.2012.2,FLD0315.20-07-2012-2,
2012-8-14,August,2012,Littoral,Summer,yes,100.024,Eutrophic,Mesotrophic,994,25.8,13.976,0.304,4.5,62.75,21.8875,4.44,14.08.2012.1,FLD0316.14-08-2012-1,
2012-8-14,August,2012,Pelagic,Summer,yes,91.021,Mesotrophic,Mesotrophic,622,24.5,14.103,0.25,4.5,92.75,21.8875,1.56,14.08.2012.2,FLD0317.14-08-2012-2,
2012-9-17,September,2012,Littoral,Fall,no,65.737,,,545,18.5,36.861,0.344,0.75,94,14.825,57.9,17.09.2012.1,FLD0318.17-09-2012-1,
2012-9-17,September,2012,Pelagic,Fall,no,74.969,Mesotrophic,Mesotrophic,635,18,37.416,0.363,0.75,65.25,14.825,81.9,17.09.2012.2,FLD0319.17-09-2012-2,
2012-10-17,October,2012,Littoral,Fall,no,54.588,Mesotrophic,Mesotrophic,830,9.5,34.225,0.763,NA,176.5,NA,0.00541,17.10.2012.1,FLD0320.17-10-2012-1,
2012-10-17,October,2012,Pelagic,Fall,no,83.618,Mesotrophic,Mesotrophic,1129,9.4,35.563,1.081,NA,120.25,NA,0.0197,17.10.2012.2,FLD0321.17-10-2012-2,
2013-6-05,June,2013,Littoral,Spring,no,48.897,Mesotrophic,Eutrophic,1996,24.1,30.864,1.942,NA,85.25,18.7375,0.01,05.06.13.1,FLD0323.05-06-2013-1,
2013-6-05,June,2013,Pelagic,Spring,no,45.035,Mesotrophic,Eutrophic,1506,22.9,31.663,1.504,NA,210.25,18.7375,0.07,05.06.13.2,FLD0324.05-06-2013-2,
2013-7-03,July,2013,Littoral,Summer,no,30.088,Mesotrophic,Mesotrophic,971,25.7,19.038,0.9,NA,190.25,NA,0.13,03.07.13.1,FLD0325.03-07-2013-1,
2013-7-03,July,2013,Pelagic,Summer,no,29.595,Mesotrophic,Mesotrophic,1051,26.2,19.53,1.025,NA,237.75,NA,0.02,03.07.13.2,FLD0326.03-07-2013-2,
2013-8-16,August,2013,Littoral,Summer,yes,90.795,Mesotrophic,Mesotrophic,1166,21,21.579,0.581,4.1,70.25,17.1875,0.2,16.08.13.1,FLD0327.16-08-2013-1,
2013-8-16,August,2013,Pelagic,Summer,no,40.149,Mesotrophic,Mesotrophic,464,20.5,22.929,0.36,4.1,187.25,17.1875,0.05,16.08.13.2,FLD0328.16-08-2013-2,
2013-8-27,August,2013,Littoral,Summer,yes,148.474,Eutrophic,Eutrophic,1693,23.2,20.866,0.509,1.625,90.25,19.075,1.37,27.08.13.1,FLD0329.27-08-2013-1,
2013-8-27,August,2013,Pelagic,Summer,yes,82.828,Mesotrophic,Mesotrophic,982,24.6,37.745,0.533,1.625,142.75,19.075,0.8,27.08.13.2,NA,
2013-9-17,September,2013,Littoral,Fall,yes,194.865,Eutrophic,Eutrophic,2186,16.8,32.565,0.634,12.05,130.25,14.475,11.7,17.09.13.1,FLD0330.17-09-2013-1,
2013-9-17,September,2013,Pelagic,Fall,yes,153.644,Eutrophic,Eutrophic,1409,17,65.148,0.53,12.05,137.75,14.475,7.24,17.09.13.2,FLD0331.17-09-2013-2,
2013-10-23,October,2013,Littoral,Fall,yes,92.716,Mesotrophic,Mesotrophic,769,11,38.356,0.454,NA,90.25,10.675,0.1,23.10.13.1,FLD0332.23-10-2013-1,
2013-10-23,October,2013,Pelagic,Fall,yes,73.558,Mesotrophic,Mesotrophic,537,11.2,45.396,0.443,NA,160.25,10.675,0.12,23.10.13.2,FLD0333.23-10-2013-2,
